slug_id,report_end_date
1907,02/13/2020
1907,02/06/2020
1907,03/26/2020
1907,03/19/2020
1907,03/12/2020
1907,03/05/2020
1907,04/30/2020
1907,04/23/2020
1907,04/16/2020
1907,04/09/2020
1907,04/02/2020
1907,05/28/2020
1907,05/21/2020
1907,05/14/2020
1907,05/07/2020
1907,06/25/2020
1907,06/18/2020
1907,06/11/2020
1907,06/04/2020
1907,07/30/2020
1907,07/23/2020
1907,07/16/2020
1907,07/09/2020
1907,07/02/2020
1907,08/27/2020
1907,08/20/2020
1907,08/13/2020
1907,08/06/2020
1907,09/24/2020
1907,09/17/2020
1907,09/10/2020
1907,09/03/2020
1907,10/29/2020
1907,10/22/2020
1907,10/15/2020
1907,10/08/2020
1907,10/01/2020
1907,11/26/2020
1907,11/19/2020
1907,11/12/2020
1907,11/05/2020
1907,12/17/2020
1907,12/10/2020
1907,12/03/2020
1907,01/30/2021
1907,01/23/2021
1907,01/16/2021
1907,01/09/2021
1907,02/27/2021
1907,02/20/2021
1907,02/13/2021
1907,02/06/2021
1907,03/27/2021
1907,03/20/2021
1907,03/13/2021
1907,03/06/2021
1907,04/24/2021
1907,04/17/2021
1907,04/10/2021
1907,04/03/2021
1907,05/29/2021
1907,05/22/2021
1907,05/15/2021
1907,05/08/2021
1907,05/01/2021
1907,06/26/2021
1907,06/19/2021
1907,06/12/2021
1907,06/05/2021
1907,07/31/2021
1907,07/24/2021
1907,07/17/2021
1907,07/10/2021
1907,07/03/2021
1907,08/28/2021
1907,08/21/2021
1907,08/14/2021
1907,08/07/2021
1907,09/25/2021
1907,09/18/2021
1907,09/11/2021
1907,09/04/2021
1907,10/30/2021
1907,10/23/2021
1907,10/16/2021
1907,10/09/2021
1907,10/02/2021
1907,11/27/2021
1907,11/20/2021
1907,11/13/2021
1907,11/06/2021
1907,12/25/2021
1907,12/18/2021
1907,12/11/2021
1907,12/04/2021
1907,01/29/2022
1907,01/22/2022
1907,01/15/2022
1907,01/08/2022
1907,01/01/2022
1907,02/26/2022
1907,02/19/2022
1907,02/12/2022
1907,02/05/2022
1907,03/26/2022
1907,03/19/2022
1907,03/12/2022
1907,03/05/2022
1907,04/30/2022
1907,04/23/2022
1907,04/16/2022
1907,04/09/2022
1907,04/02/2022
1907,05/28/2022
1907,05/21/2022
1907,05/14/2022
1907,05/07/2022
1907,06/25/2022
1907,06/18/2022
1907,06/11/2022
1907,06/04/2022
1907,07/30/2022
1907,07/23/2022
1907,07/16/2022
1907,07/09/2022
1907,07/02/2022
1907,08/27/2022
1907,08/20/2022
1907,08/13/2022
1907,08/06/2022
1907,09/24/2022
1907,09/17/2022
1907,09/10/2022
1907,09/03/2022
1907,10/29/2022
1907,10/22/2022
1907,10/15/2022
1907,10/08/2022
1907,10/01/2022
1907,11/26/2022
1907,11/19/2022
1907,11/12/2022
1907,11/05/2022
1907,12/31/2022
1907,12/24/2022
1907,12/17/2022
1907,12/10/2022
1907,12/03/2022
1907,01/28/2023
1907,01/21/2023
1907,01/14/2023
1907,01/07/2023
1907,02/25/2023
1907,02/18/2023
1907,02/11/2023
1907,02/04/2023
1907,03/25/2023
1907,03/18/2023
1907,03/11/2023
1907,03/04/2023
1907,04/29/2023
1907,04/22/2023
1907,04/15/2023
1907,04/08/2023
1907,04/01/2023
1907,05/27/2023
1907,05/20/2023
1907,05/13/2023
1907,05/06/2023
1907,06/24/2023
1907,06/17/2023
1907,06/10/2023
1907,06/03/2023
1907,07/29/2023
1907,07/22/2023
1907,07/15/2023
1907,07/08/2023
1907,07/01/2023
1907,08/26/2023
1907,08/19/2023
1907,08/12/2023
1907,08/05/2023
1907,09/30/2023
1907,09/23/2023
1907,09/16/2023
1907,09/09/2023
1907,09/02/2023
1907,10/28/2023
1907,10/21/2023
1907,10/14/2023
1907,10/07/2023
1907,11/25/2023
1907,11/18/2023
1907,11/11/2023
1907,11/04/2023
1907,12/30/2023
1907,12/23/2023
1907,12/16/2023
1907,12/09/2023
1907,12/02/2023
1907,01/27/2024
1907,01/20/2024
1907,01/13/2024
1907,01/06/2024
1907,02/24/2024
1907,02/17/2024
1907,02/10/2024
1907,02/03/2024
1907,03/09/2024
1907,03/02/2024
1704,01/30/2020
1704,01/23/2020
1704,01/16/2020
1704,01/09/2020
1704,02/27/2020
1704,02/20/2020
1704,02/13/2020
1704,02/06/2020
1704,03/26/2020
1704,03/19/2020
1704,03/12/2020
1704,03/05/2020
1704,04/30/2020
1704,04/23/2020
1704,04/16/2020
1704,04/09/2020
1704,04/02/2020
1704,05/28/2020
1704,05/21/2020
1704,05/14/2020
1704,05/07/2020
1704,06/25/2020
1704,06/18/2020
1704,06/11/2020
1704,06/04/2020
1704,07/30/2020
1704,07/23/2020
1704,07/16/2020
1704,07/09/2020
1704,08/27/2020
1704,08/20/2020
1704,08/13/2020
1704,08/06/2020
1704,09/24/2020
1704,09/17/2020
1704,09/10/2020
1704,09/03/2020
1704,10/29/2020
1704,10/22/2020
1704,10/15/2020
1704,10/08/2020
1704,10/01/2020
1704,11/19/2020
1704,11/12/2020
1704,11/05/2020
1704,12/17/2020
1704,12/10/2020
1704,12/03/2020
1704,01/30/2021
1704,01/23/2021
1704,01/16/2021
1704,01/09/2021
1704,02/27/2021
1704,02/20/2021
1704,02/13/2021
1704,02/06/2021
1704,03/27/2021
1704,03/20/2021
1704,03/13/2021
1704,03/06/2021
1704,04/24/2021
1704,04/17/2021
1704,04/10/2021
1704,04/03/2021
1704,05/29/2021
1704,05/22/2021
1704,05/15/2021
1704,05/08/2021
1704,05/01/2021
1704,06/26/2021
1704,06/19/2021
1704,06/12/2021
1704,06/05/2021
1704,07/31/2021
1704,07/24/2021
1704,07/17/2021
1704,07/10/2021
1704,08/28/2021
1704,08/21/2021
1704,08/14/2021
1704,08/07/2021
1704,09/25/2021
1704,09/18/2021
1704,09/11/2021
1704,09/04/2021
1704,10/30/2021
1704,10/23/2021
1704,10/16/2021
1704,10/09/2021
